number,name,status
1,PEP Purpose and Guidelines,Active
214,Extended Print Statement,Final
212,Loop Counter Iteration,Rejected
213,Attribute Access Handlers,Deferred
209,Multi-dimensional Arrays,Withdrawn
210,Decoupling the Interpreter Loop,Rejected
211,Adding A New Outer Product Operator,Rejected
208,Reworking the Coercion Model,Final
207,Rich Comparisons,Final
206,Python Advanced Library,Withdrawn
205,Weak References,Final
204,Range Literals,Rejected
203,Augmented Assignments,Final
202,List Comprehensions,Final
201,Lockstep Iteration,Final
620,Hide implementation details from the C API,Withdrawn
200,Python 2.0 Release Schedule,Final
8100,January 2019 Steering Council election,Final
8016,The Steering Council Model,Accepted
8014,The Commons Governance Model,Rejected
8015,Organization of the Python community,Rejected
8013,The External Council Governance Model,Rejected
8012,The Community Governance Model,Rejected
8010,The Technical Leader Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8001,Python Governance Voting Process,Final
8000,Python Language Governance Proposal Overview,Final
8002,Open Source Governance Survey,Final
3154,Pickle protocol version 4,Final
3153,Asynchronous IO support,Superseded
3152,Cofunctions,Rejected
3150,Statement local namespaces (aka “given” clause),Deferred
3155,Qualified name for classes and functions,Final
3149,ABI version tagged .so files,Final
3148,futures - execute computations asynchronously,Final
3146,Merging Unladen Swallow into CPython,Withdrawn
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3143,Standard daemon process library,Deferred
3141,A Type Hierarchy for Numbers,Final
3142,Add a “while” clause to generator expressions,Rejected
3147,PYC Repository Directories,Final
3135,New Super,Final
3133,Introducing Roles,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3137,Immutable Bytes and Mutable Buffer,Final
3136,Labeled break and continue,Rejected
3134,Exception Chaining and Embedded Tracebacks,Final
3138,String representation in Python 3000,Final
3132,Extended Iterable Unpacking,Final
3130,Access to Current Module/Class/Function,Rejected
3129,Class Decorators,Final
3125,Remove Backslash Continuation,Rejected
3131,Supporting Non-ASCII Identifiers,Final
3126,Remove Implicit String Concatenation,Rejected
3121,Extension Module Initialization and Finalization,Accepted
3122,Delineation of the main module,Rejected
3118,Revising the buffer protocol,Final
3123,Making PyObject_HEAD conform to standard C,Final
3120,Using UTF-8 as the default source encoding,Final
3117,Postfix type declarations,Rejected
3119,Introducing Abstract Base Classes,Final
3116,New I/O,Final
3113,Removal of Tuple Parameter Unpacking,Final
3115,Metaclasses in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3112,Bytes literals in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3108,Standard Library Reorganization,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3102,Keyword-Only Arguments,Final
3105,Make print a function,Final
3104,Access to Names in Outer Scopes,Final
3107,Function Annotations,Final
3101,Advanced String Formatting,Final
3103,A Switch/Case Statement,Rejected
3100,Miscellaneous Python 3.0 Plans,Final
3000,Python 3000,Final
3003,Python Language Moratorium,Final
3099,Things that will Not Change in Python 3000,Final
3002,Procedure for Backwards-Incompatible Changes,Final
801,Reserved,Active
3001,Procedure for reviewing and improving standard library modules,Withdrawn
754,IEEE 754 Floating Point Special Values,Rejected
719,Python 3.13 Release Schedule,Active
693,Python 3.12 Release Schedule,Active
672,Unicode-related Security Considerations for Python,Active
670,Convert macros to functions in the Python C API,Final
674,Disallow using macros as l-values,Deferred
666,Reject Foolish Indentation,Rejected
664,Python 3.11 Release Schedule,Active
667,Consistent views of namespaces,Draft
653,Precise Semantics for Pattern Matching,Draft
659,Specializing Adaptive Interpreter,Draft
654,Exception Groups and except*,Accepted
651,Robust Stack Overflow Handling,Rejected
640,Unused variable syntax,Rejected
628,Add ,Final
624,Remove Py_UNICODE encoder APIs,Final
619,Python 3.10 Release Schedule,Active
611,The one million limit,Withdrawn
608,Coordinated Python release,Rejected
606,Python Compatibility Version,Rejected
597,Add optional EncodingWarning,Final
583,A Concurrency Memory Model for Python,Withdrawn
572,Assignment Expressions,Final
577,Augmented Assignment Expressions,Withdrawn
575,Unifying function/method classes,Withdrawn
569,Python 3.8 Release Schedule,Active
568,Generator-sensitivity for Context Variables,Deferred
567,Context Variables,Final
565,Show DeprecationWarning in __main__,Final
564,Add new time functions with nanosecond resolution,Final
561,Distributing and Packaging Type Information,Final
559,Built-in noop(),Rejected
557,Data Classes,Final
560,Core support for typing module and generic types,Accepted
556,Threaded garbage collection,Deferred
562,Module __getattr__ and __dir__,Final
551,Security transparency in the Python runtime,Withdrawn
553,Built-in breakpoint(),Final
550,Execution Context,Withdrawn
552,Deterministic pycs,Final
548,More Flexible Loop Control,Rejected
555,Context-local variables (contextvars),Withdrawn
543,A Unified TLS API for Python,Withdrawn
547,Running extension modules using the -m option,Deferred
542,Dot Notation Assignment In Function Header,Rejected
545,Python Documentation Translations,Final
535,Rich comparison chaining,Deferred
536,Final Grammar for Literal String Interpolation,Deferred
534,Improved Errors for Missing Standard Library Modules,Deferred
537,Python 3.7 Release Schedule,Final
532,A circuit breaking protocol and binary operators,Deferred
529,Change Windows filesystem encoding to UTF-8,Final
528,Change Windows console encoding to UTF-8,Final
531,Existence checking operators,Withdrawn
526,Syntax for Variable Annotations,Final
524,Make os.urandom() blocking on Linux,Final
520,Preserving Class Attribute Definition Order,Final
519,Adding a file system path protocol,Final
523,Adding a frame evaluation API to CPython,Final
522,Allow BlockingIOError in security sensitive APIs,Rejected
521,Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
515,Underscores in Numeric Literals,Final
511,API for code transformers,Rejected
510,Specialize functions with guards,Rejected
509,Add a private version to dict,Superseded
502,String Interpolation - Extended Discussion,Rejected
507,Migrate CPython to Git and GitLab,Rejected
505,None-aware operators,Deferred
504,Using the System RNG by default,Withdrawn
501,General purpose string interpolation,Deferred
506,Adding A Secrets Module To The Standard Library,Final
498,Literal String Interpolation,Final
494,Python 3.6 Release Schedule,Final
488,Elimination of PYO files,Final
490,Chain exceptions at C level,Rejected
487,Simpler customisation of class creation,Final
486,Make the Python Launcher aware of virtual environments,Final
485,A Function for testing approximate equality,Final
481,"Migrate CPython to Git, Github, and Phabricator",Withdrawn
479,Change StopIteration handling inside generators,Final
478,Python 3.5 Release Schedule,Final
476,Enabling certificate verification by default for stdlib http clients,Final
474,Creating forge.python.org,Withdrawn
473,Adding structured data to built-in exceptions,Rejected
469,Migration of dict iteration code to Python 3,Withdrawn
467,Minor API improvements for binary sequences,Draft
465,A dedicated infix operator for matrix multiplication,Final
466,Network Security Enhancements for Python 2.7.x,Final
463,Exception-catching expressions,Rejected
462,Core development workflow automation for CPython,Withdrawn
460,Add binary interpolation and formatting,Withdrawn
461,Adding % formatting to bytes and bytearray,Final
452,API for Cryptographic Hash Functions v2.0,Final
447,Add __getdescriptor__ method to metaclass,Deferred
446,Make newly created file descriptors non-inheritable,Final
450,Adding A Statistics Module To The Standard Library,Final
437,"A DSL for specifying signatures, annotations and argument converters",Rejected
435,Adding an Enum type to the Python standard library,Final
433,Easier suppression of file descriptor inheritance,Superseded
428,The pathlib module – object-oriented filesystem paths,Final
429,Python 3.4 Release Schedule,Final
424,A method for exposing a length hint,Final
420,Implicit Namespace Packages,Final
422,Simpler customisation of class creation,Withdrawn
419,Protecting cleanup statements from interruptions,Deferred
418,"Add monotonic time, performance counter, and process time functions",Final
413,Faster evolution of the Python Standard Library,Withdrawn
417,Including mock in the Standard Library,Final
412,Key-Sharing Dictionary,Final
414,Explicit Unicode Literal for Python 3.3,Final
416,Add a frozendict builtin type,Rejected
411,Provisional packages in the Python standard library,Superseded
410,Use decimal.Decimal type for timestamps,Rejected
409,Suppressing exception context,Final
408,Standard library __preview__ package,Rejected
